Applied Nodal Loadvector Loadcase      2
  Node     PXX[N]     PYY[N]     PZZ[N]    MXX[Nm]    MYY[Nm]    MZZ[Nm]
  1001       0.00       0.00     -68.62       0.00       0.00       0.00
  1003       0.00       0.00     -62.68       0.00       0.00       0.00
  1004       0.00       0.00     -52.28       0.00       0.00       0.00
  1006       0.00       0.00    -134.92       0.00       0.00       0.00
  1008       0.00       0.00    -108.13       0.00       0.00       0.00
  1034       0.00       0.00     -61.52       0.00       0.00       0.00
  1049       0.00       0.00     -61.74       0.00       0.00       0.00
  1051       0.00       0.00     -84.98       0.00       0.00       0.00
  1052       0.00       0.00    -108.83       0.00       0.00       0.00
  1056       0.00       0.00    -100.02       0.00       0.00       0.00
  1060       0.00       0.00     -67.47       0.00       0.00       0.00
  1061       0.00       0.00     -95.97       0.00       0.00       0.00
  1062       0.00       0.00    -142.49       0.00       0.00       0.00
  1063       0.00       0.00    -144.83       0.00       0.00       0.00
  1067       0.00       0.00     -84.30       0.00       0.00       0.00
  1068       0.00       0.00    -134.87       0.00       0.00       0.00
  1069       0.00       0.00    -112.60       0.00       0.00       0.00
  1070       0.00       0.00    -121.68       0.00       0.00       0.00
  1071       0.00       0.00     -97.09       0.00       0.00       0.00
  1078       0.00       0.00     -54.13       0.00       0.00       0.00
  1079       0.00       0.00     -54.35       0.00       0.00       0.00
  1080       0.00       0.00     -64.14       0.00       0.00       0.00
  1081       0.00       0.00    -161.03       0.00       0.00       0.00
  1082       0.00       0.00     -51.89       0.00       0.00       0.00
  1083       0.00       0.00    -110.58       0.00       0.00       0.00
  1084       0.00       0.00     -72.96       0.00       0.00       0.00
  1085       0.00       0.00    -130.60       0.00       0.00       0.00
  1087       0.00       0.00    -110.44       0.00       0.00       0.00
  1089       0.00       0.00     -53.21       0.00       0.00       0.00
  1113       0.00       0.00     -67.48       0.00       0.00       0.00
  1117       0.00       0.00     -81.65       0.00       0.00       0.00
  1157       0.00       0.00     -59.71       0.00       0.00       0.00
  1177       0.00       0.00    -105.26       0.00       0.00       0.00
  1181       0.00       0.00    -100.23       0.00       0.00       0.00
  1185       0.00       0.00    -102.71       0.00       0.00       0.00
  1364       0.00       0.00    -106.52       0.00       0.00       0.00
  1365       0.00       0.00    -135.53       0.00       0.00       0.00
  1372       0.00       0.00     -90.24       0.00       0.00       0.00
  1380       0.00       0.00    -173.52       0.00       0.00       0.00
  1420       0.00       0.00     -64.28       0.00       0.00       0.00
  1425       0.00       0.00     -67.36       0.00       0.00       0.00
  1428       0.00       0.00     -86.50       0.00       0.00       0.00
  1433       0.00       0.00     -84.38       0.00       0.00       0.00
  1440       0.00       0.00    -394.62       0.00       0.00       0.00
  1441       0.00       0.00    -185.59       0.00       0.00       0.00
  1445       0.00       0.00    -155.82       0.00       0.00       0.00
  1448       0.00       0.00    -107.09       0.00       0.00       0.00
  1449       0.00       0.00    -262.71       0.00       0.00       0.00
  1452       0.00       0.00    -245.88       0.00       0.00       0.00
  1457       0.00       0.00    -245.96       0.00       0.00       0.00
  1460       0.00       0.00    -165.75       0.00       0.00       0.00
  1461       0.00       0.00    -271.08       0.00       0.00       0.00
  1465       0.00       0.00    -227.49       0.00       0.00       0.00
  1476       0.00       0.00    -100.15       0.00       0.00       0.00
  1477       0.00       0.00    -100.95       0.00       0.00       0.00
  1610       0.00       0.00    -133.92       0.00       0.00       0.00
  1622       0.00       0.00     -85.60       0.00       0.00       0.00
  1630       0.00       0.00    -187.85       0.00       0.00       0.00
  1667       0.00       0.00     -73.28       0.00       0.00       0.00
  1670       0.00       0.00     -91.55       0.00       0.00       0.00
  1675       0.00       0.00    -128.86       0.00       0.00       0.00
  1698       0.00       0.00    -245.41       0.00       0.00       0.00
  1699       0.00       0.00    -269.38       0.00       0.00       0.00
  1702       0.00       0.00     -85.41       0.00       0.00       0.00
  1703       0.00       0.00    -232.88       0.00       0.00       0.00
  1714       0.00       0.00     -87.71       0.00       0.00       0.00
  1715       0.00       0.00     -60.18       0.00       0.00       0.00
  1718       0.00       0.00     -73.09       0.00       0.00       0.00
  1719       0.00       0.00     -60.18       0.00       0.00       0.00
  1754       0.00       0.00    -129.76       0.00       0.00       0.00
  1755       0.00       0.00    -260.59       0.00       0.00       0.00
  1756       0.00       0.00    -225.78       0.00       0.00       0.00
  1757       0.00       0.00    -260.94       0.00       0.00       0.00
  1762       0.00       0.00    -287.30       0.00       0.00       0.00
  1763       0.00       0.00    -193.35       0.00       0.00       0.00
  1764       0.00       0.00    -175.10       0.00       0.00       0.00
  1765       0.00       0.00    -177.41       0.00       0.00       0.00
  1766       0.00       0.00    -214.21       0.00       0.00       0.00
  1767       0.00       0.00    -348.10       0.00       0.00       0.00
  1768       0.00       0.00    -483.00       0.00       0.00       0.00
  1769       0.00       0.00    -222.38       0.00       0.00       0.00
  1770       0.00       0.00    -221.49       0.00       0.00       0.00
  1771       0.00       0.00    -199.16       0.00       0.00       0.00
  1772       0.00       0.00    -197.95       0.00       0.00       0.00
  1773       0.00       0.00    -182.59       0.00       0.00       0.00
  1782       0.00       0.00     -53.26       0.00       0.00       0.00
  1783       0.00       0.00     -75.06       0.00       0.00       0.00
  1784       0.00       0.00     -55.54       0.00       0.00       0.00
  1785       0.00       0.00     -55.10       0.00       0.00       0.00
  1786       0.00       0.00     -75.52       0.00       0.00       0.00
  1787       0.00       0.00     -70.43       0.00       0.00       0.00
  1788       0.00       0.00     -91.19       0.00       0.00       0.00
  1790       0.00       0.00     -65.64       0.00       0.00       0.00
  1791       0.00       0.00     -77.33       0.00       0.00       0.00
  1792       0.00       0.00     -92.52       0.00       0.00       0.00
  1793       0.00       0.00     -53.89       0.00       0.00       0.00
  1794       0.00       0.00    -278.77       0.00       0.00       0.00
  1795       0.00       0.00    -279.31       0.00       0.00       0.00
  1796       0.00       0.00    -198.92       0.00       0.00       0.00
  1797       0.00       0.00    -205.74       0.00       0.00       0.00
  1798       0.00       0.00    -140.89       0.00       0.00       0.00
  1799       0.00       0.00    -195.77       0.00       0.00       0.00
  1800       0.00       0.00    -214.21       0.00       0.00       0.00
  1801       0.00       0.00    -231.21       0.00       0.00       0.00
  1803       0.00       0.00     -95.87       0.00       0.00       0.00
  1872       0.00       0.00    -139.77       0.00       0.00       0.00
  1873       0.00       0.00    -233.14       0.00       0.00       0.00
  1874       0.00       0.00    -209.38       0.00       0.00       0.00
  1875       0.00       0.00    -278.19       0.00       0.00       0.00
  1876       0.00       0.00    -147.68       0.00       0.00       0.00
  1878       0.00       0.00    -374.78       0.00       0.00       0.00
  1879       0.00       0.00    -282.59       0.00       0.00       0.00
  1881       0.00       0.00    -208.60       0.00       0.00       0.00
  1882       0.00       0.00    -314.93       0.00       0.00       0.00
  1893       0.00       0.00     -72.33       0.00       0.00       0.00
  1894       0.00       0.00     -54.05       0.00       0.00       0.00
  1895       0.00       0.00     -59.62       0.00       0.00       0.00
  1896       0.00       0.00     -73.04       0.00       0.00       0.00
  1897       0.00       0.00     -73.99       0.00       0.00       0.00
  2000       0.00       0.00     -57.77       0.00       0.00       0.00
  2001       0.00       0.00    -232.00       0.00       0.00       0.00
  2002       0.00       0.00    -213.42       0.00       0.00       0.00
  2004       0.00       0.00    -149.44       0.00       0.00       0.00
